"country","total_revenue"
"Afghanistan","67.82"
"Algeria","349.18"
"American Samoa","47.85"
"Angola","187.55"
"Anguilla","99.68"
"Argentina","1298.80"
"Armenia","118.75"
"Austria","284.30"
"Azerbaijan","198.53"
"Bahrain","108.76"
"Bangladesh","353.19"
"Belarus","271.36"
"Bolivia","178.56"
"Brazil","2919.19"
"Brunei","107.66"
"Bulgaria","194.52"
"Cambodia","179.51"
"Cameroon","186.49"
"Canada","559.70"
"Chad","122.72"
"Chile","303.34"
"China","5251.03"
"Colombia","661.54"
"Congo, The Democratic Republic of the","168.58"
"Czech Republic","132.72"
"Dominican Republic","304.26"
"Ecuador","369.18"
"Egypt","659.48"
"Estonia","105.72"
"Ethiopia","91.77"
"Faroe Islands","96.76"
"Finland","78.79"
"France","334.12"
"French Guiana","97.80"
"French Polynesia","205.52"
"Gambia","114.73"
"Germany","741.24"
"Greece","204.54"
"Greenland","119.72"
"Holy See (Vatican City State)","146.68"
"Hong Kong","104.76"
"Hungary","111.71"
"India","6034.78"
"Indonesia","1352.69"
"Iran","877.96"
"Iraq","111.73"
"Israel","379.13"
"Italy","753.26"
"Japan","3122.51"
"Kazakstan","192.51"
"Kenya","245.49"
"Kuwait","106.75"
"Latvia","249.43"
"Liechtenstein","99.74"
"Lithuania","63.78"
"Madagascar","92.79"
"Malawi","121.73"
"Malaysia","330.23"
"Mexico","2984.82"
"Moldova","127.66"
"Morocco","274.35"
"Mozambique","315.25"
"Myanmar","179.53"
"Nauru","143.70"
"Nepal","93.83"
"Netherlands","557.73"
"New Zealand","85.77"
"Nigeria","1314.92"
"North Korea","107.71"
"Oman","161.56"
"Pakistan","473.84"
"Paraguay","273.40"
"Peru","407.01"
"Philippines","2219.70"
"Poland","786.16"
"Puerto Rico","224.48"
"Romania","218.42"
"Runion","211.55"
"Russian Federation","2765.62"
"Saint Vincent and the Grenadines","64.82"
"Saudi Arabia","452.94"
"Senegal","95.76"
"Slovakia","80.77"
"South Africa","1069.46"
"South Korea","527.77"
"Spain","513.80"
"Sri Lanka","103.73"
"Sudan","202.51"
"Sweden","139.67"
"Switzerland","248.41"
"Taiwan","1155.10"
"Tanzania","322.22"
"Thailand","401.08"
"Tonga","64.84"
"Tunisia","73.78"
"Turkey","1498.49"
"Turkmenistan","126.74"
"Tuvalu","93.78"
"Ukraine","675.53"
"United Arab Emirates","305.25"
"United Kingdom","850.96"
"United States","3685.31"
"Venezuela","632.43"
"Vietnam","676.45"
"Virgin Islands, U.S.","121.69"
"Yemen","473.93"
"Yugoslavia","233.49"
"Zambia","121.70"
